Item,User Id,Gender,Age,Date of Transaction,Store,Brand,Location,Category,Price
936,28,Male,65,2017-01-28,Jaspas PE,Jaspas,Prince Edward,Restaurants,1138
937,18,Female,51,2017-02-13,Goobne Chicken MK,Goobne Chicken,Mong Kok,Restaurants,368
938,41,Female,23,2016-12-09,Bombay House,Bombay House,Prince Edward,Restaurants,417
939,44,Female,28,2016-12-16,Pacific Coffee 115-4,Pacific Coffee,Sha Tin,Coffee,230
940,11,Female,41,2016-12-21,Chef Stage By Eddie Chu,Chef Stage,Tsim Sha Tsui,Restaurants,1568
941,27,Female,22,2017-02-12,StarBucks (4426),StarBucks,Central,Coffee,219
942,2,Male,19,2016-12-06,Lei Garden Central,Lei Garden,Central,Restaurants,4109
943,16,Female,64,2017-02-03,Itunes.com/bill,Apple,Itunes.com,Electronics,146
944,44,Female,28,2017-02-08,Deliveroo,Pure,Hong Kong,Health/Fitness,339
945,34,Male,57,2017-01-19,Pacific Coffee WC 2,Pacific Coffee,Wan Chain,Coffee,215
946,39,Female,40,2017-01-29,McDonalds SHA,McDonalds,Sha Tin,Fast Food,156
947,30,Female,36,2017-02-24,Outback Steakhouse CWB 2,Outback Steakhouse,Causeway Bay,Restaurants,239
948,27,Female,22,2017-01-25,Jaspas PE,Jaspas,Prince Edward,Restaurants,511
949,7,Male,48,2016-12-11,Wellcome Sha 333,Wellcome,Sha Tin,Grocery,511
950,24,Female,37,2017-01-08,ICHIRAN TST 1,ICHIRAN,Tsim Sha Tsui,Restaurants,310
951,23,Female,20,2016-12-31,Lei Garden Central,Lei Garden,Central,Restaurants,1399
952,43,Female,51,2017-01-19,Park N Shop Sha Tin Central,Park N Shop,Sha Tin,Grocery,702
953,3,Male,40,2016-12-11,Pacific Coffee HK,Pacific Coffee,Tung Chung,Coffee,57
954,27,Female,22,2017-01-27,"7-Eleven, HK (1703)",7-Eleven,Sha Tin,Grocery,137
955,36,Female,21,2017-01-15,Little Vegas,Little Vegas,Causeway Bay,Restaurants,360
956,40,Female,56,2017-02-25,Glasshouse,Glasshouse,Central,Restaurants,1103
957,26,Male,22,2017-01-12,Pacific Coffee (4426),Pacific Coffee,Central,Coffee,152
958,43,Female,51,2017-01-28,Chef Stage By Eddie Chu,Chef Stage,Tsim Sha Tsui,Restaurants,4251
959,15,Male,31,2017-01-27,Big Fernand Wan Chai,Big Fernand,Wan Chai,Restaurants,174
960,21,Male,19,2017-02-11,Tulsi SYP,Tulsi and Wine,Sai Ying Pun,Restaurants,375
961,48,Male,40,2017-02-08,Jaspas PE,Jaspas,Prince Edward,Restaurants,379
962,14,Female,29,2016-12-19,ICHIRAN TST 1,ICHIRAN,Tsim Sha Tsui,Restaurants,168
963,11,Female,41,2017-01-14,Pacific Coffee (4426),Pacific Coffee,Central,Coffee,51
964,6,Female,64,2017-01-14,McDonalds SHA,McDonalds,Sha Tin,Fast Food,87
965,15,Male,31,2017-01-29,Hwaduk,Hwanduk,Causeway Bay,Restaurants,277
966,25,Male,23,2017-02-07,"7-Eleven, HK (200)",7-Eleven,Tung Chung,Grocery,77
967,10,Male,33,2017-01-30,Sushi Man YL,Sushi Man,Yuen Long,Restaurants,2472
968,29,Female,45,2016-12-06,Thai on 5 Seafood Grill and Bar,Thai on 5 Seafood Grill and Bar,Tsim Sha Tsui,Restaurants,1393
969,23,Female,20,2017-02-23,Wellcome Sha 333,Wellcome,Sha Tin,Grocery,862
970,6,Female,64,2017-01-12,Wellcome Sha 333,Wellcome,Sha Tin,Grocery,180
971,26,Male,22,2016-12-13,Calimex CWB,Calimex,Causeway Bay,Restaurants,88
972,16,Female,64,2017-01-06,ICHIRAN TST 1,ICHIRAN,Tsim Sha Tsui,Restaurants,122
973,32,Female,42,2016-12-10,Wellcome 81,Wellcome,Tung Chung,Grocery,349
974,39,Female,40,2017-01-25,Glasshouse,Glasshouse,Central,Restaurants,411
975,34,Male,57,2017-02-03,Wellcome 81,Wellcome,Tung Chung,Grocery,1004
976,22,Male,67,2017-02-20,Wellcome Main 24,Wellcome,Central,Grocery,349
977,2,Male,19,2017-01-30,Sushi Man YL,Sushi Man,Yuen Long,Restaurants,2459
978,48,Male,40,2016-12-23,Hwaduk,Hwanduk,Causeway Bay,Restaurants,443
979,35,Male,21,2016-12-01,"7-Eleven, HK (200)",7-Eleven,Tung Chung,Grocery,334
980,5,Female,42,2017-01-12,Goobne Chicken MK,Goobne Chicken,Mong Kok,Restaurants,111
981,10,Male,33,2017-02-21,Pacific Coffee (4426),Pacific Coffee,Central,Coffee,107
982,14,Female,29,2016-12-11,Lei Garden Central,Lei Garden,Central,Restaurants,6141
983,1,Male,52,2017-01-05,Itunes.com/bill,Apple,Itunes.com,Electronics,657
984,41,Female,23,2017-01-10,Pacific Coffee 115-4,Pacific Coffee,Sha Tin,Coffee,177
985,28,Male,65,2016-12-29,Ibon Rae House,Ibon Rae,Central,Restaurants,524
986,13,Female,27,2016-12-17,Chef Stage By Eddie Chu,Chef Stage,Tsim Sha Tsui,Restaurants,6277
987,38,Male,18,2017-02-08,Chef Stage By Eddie Chu,Chef Stage,Tsim Sha Tsui,Restaurants,3584
988,1,Male,52,2016-12-04,Wellcome Sha 333,Wellcome,Sha Tin,Grocery,308
989,36,Female,21,2016-12-01,Park N Shop 784,Park N Shop,Tung Chung,Grocery,986
990,13,Female,27,2016-12-23,Pacific Coffee WC 2,Pacific Coffee,Wan Chain,Coffee,85
991,3,Male,40,2017-01-25,Pacific Coffee WC 2,Pacific Coffee,Wan Chain,Coffee,119
992,36,Female,21,2017-02-04,Wellcome WC 1,Wellcome,Wan Chai,Grocery,1131
993,42,Male,60,2017-02-12,Sushi Man YL,Sushi Man,Yuen Long,Restaurants,1338
994,48,Male,40,2017-01-07,Spaghetti House (42),Spaghetti House,Tai Koo Shing,Restaurants,613
995,10,Male,33,2017-02-01,Glasshouse,Glasshouse,Central,Restaurants,1161
996,45,Male,62,2016-12-02,"7-Eleven, HK (1223)",7-Eleven,Central,Grocery,286
997,27,Female,22,2017-01-04,"7-Eleven, HK (1007)",7-Eleven,Wan Chai,Grocery,149
998,1,Male,52,2016-12-11,Calimex CWB,Calimex,Causeway Bay,Restaurants,446
999,8,Male,66,2017-02-05,McDonalds SHA,McDonalds,Sha Tin,Fast Food,71
1000,2,Male,19,2016-12-15,Deliveroo,Pure,Hong Kong,Health/Fitness,464
1001,18,Female,51,2017-02-17,Park N Shop 154,Park N Shop,Central,Grocery,1185
1002,16,Female,64,2017-02-11,StarBucks 115-4,StarBucks,Sha Tin,Coffee,73
1003,46,Female,29,2017-02-11,Deliveroo,Pure,Hong Kong,Health/Fitness,122
1004,43,Female,51,2017-01-06,Park N Shop Sha Tin Central,Park N Shop,Sha Tin,Grocery,532
1005,43,Female,51,2016-12-18,Dominos Central,Dominos,Central,Restaurants,210
1006,30,Female,36,2017-01-29,Chef Stage By Eddie Chu,Chef Stage,Tsim Sha Tsui,Restaurants,5665
1007,35,Male,21,2016-12-02,Hiroshi TST,Hiroshi,Tsim Sha Tsui,Restaurants,545
1008,33,Female,53,2016-12-01,Hiroshi TST,Hiroshi,Tsim Sha Tsui,Restaurants,412
1009,40,Female,56,2017-01-13,Ibon Rae House,Ibon Rae,Central,Restaurants,531
1010,30,Female,36,2017-01-28,Wellcome Main 24,Wellcome,Central,Grocery,714
1011,37,Female,52,2016-12-16,Glasshouse,Glasshouse,Central,Restaurants,910
1012,9,Male,44,2016-12-22,Pacific Coffee WC 2,Pacific Coffee,Wan Chain,Coffee,202
1013,46,Female,29,2017-01-11,"7-Eleven, HK (1007)",7-Eleven,Wan Chai,Grocery,112
1014,18,Female,51,2017-02-10,ICHIRAN TST 1,ICHIRAN,Tsim Sha Tsui,Restaurants,252
1015,10,Male,33,2017-02-26,Wellcome Main 24,Wellcome,Central,Grocery,943
1016,39,Female,40,2016-12-06,Hiroshi TST,Hiroshi,Tsim Sha Tsui,Restaurants,642
1017,18,Female,51,2017-02-01,Big Fernand Wan Chai,Big Fernand,Wan Chai,Restaurants,381
1018,4,Male,62,2017-02-12,Hiroshi TST,Hiroshi,Tsim Sha Tsui,Restaurants,534
1019,14,Female,29,2017-01-28,StarBucks HK,StarBucks,Tung Chung,Coffee,32
1020,37,Female,52,2016-12-06,Park N Shop Sha Tin Central,Park N Shop,Sha Tin,Grocery,416
1021,10,Male,33,2016-12-21,Big Fernand Wan Chai,Big Fernand,Wan Chai,Restaurants,391
1022,46,Female,29,2017-02-14,Itunes.com/bill,Apple,Itunes.com,Electronics,437
1023,47,Female,63,2017-01-14,Wellcome WC 1,Wellcome,Wan Chai,Grocery,882
1024,43,Female,51,2017-02-05,Goobne Chicken MK,Goobne Chicken,Mong Kok,Restaurants,178
1025,50,Male,24,2017-02-16,"7-Eleven, HK (200)",7-Eleven,Tung Chung,Grocery,201
1026,49,Male,40,2016-12-17,"7-Eleven, HK (1703)",7-Eleven,Sha Tin,Grocery,116
1027,10,Male,33,2017-01-13,Lee Moon Yuen Korea Restaurant,Lee Moon Yuen Korea Restaurant,Mong Kok,Restaurants,445
1028,12,Male,56,2016-12-12,Little Vegas,Little Vegas,Causeway Bay,Restaurants,254
1029,43,Female,51,2016-12-29,Park N Shop 154,Park N Shop,Central,Grocery,479
1030,19,Female,37,2016-12-03,Wellcome 81,Wellcome,Tung Chung,Grocery,320
1031,37,Female,52,2017-01-19,The Grill Room,The Grill Room,Causeway Bay,Restaurants,1715
1032,33,Female,53,2017-02-20,Goobne Chicken MK,Goobne Chicken,Mong Kok,Restaurants,193
1033,34,Male,57,2016-12-30,Lei Garden Central,Lei Garden,Central,Restaurants,5783
1034,10,Male,33,2017-02-22,Calimex CWB,Calimex,Causeway Bay,Restaurants,290
1035,22,Male,67,2017-02-08,Cinta-J,Cinta-J,Wan Chai,Restaurants,1197
1036,28,Male,65,2017-01-11,Wellcome WC 1,Wellcome,Wan Chai,Grocery,837
1037,48,Male,40,2017-02-10,The Grill Room,The Grill Room,Causeway Bay,Restaurants,1683
1038,2,Male,19,2016-12-03,Pacific Coffee (4426),Pacific Coffee,Central,Coffee,119
1039,45,Male,62,2016-12-12,Calimex CWB,Calimex,Causeway Bay,Restaurants,421
1040,15,Male,31,2016-12-03,Calimex CWB,Calimex,Causeway Bay,Restaurants,418
1041,42,Male,60,2017-01-20,Lee Moon Yuen Korea Restaurant,Lee Moon Yuen Korea Restaurant,Mong Kok,Restaurants,1016
1042,35,Male,21,2017-01-15,Pacific Coffee 115-4,Pacific Coffee,Sha Tin,Coffee,155
1043,4,Male,62,2017-01-25,Wellcome WC 1,Wellcome,Wan Chai,Grocery,919
1044,13,Female,27,2016-12-13,McDonalds-260-Queens,McDonalds,Central,Fast Food,176
1045,42,Male,60,2016-12-26,Itunes.com/bill,Apple,Itunes.com,Electronics,279
1046,18,Female,51,2017-01-15,Jaspas PE,Jaspas,Prince Edward,Restaurants,894
1047,29,Female,45,2017-01-29,ICHIRAN TST 1,ICHIRAN,Tsim Sha Tsui,Restaurants,420
1048,45,Male,62,2016-12-11,Chef Stage By Eddie Chu,Chef Stage,Tsim Sha Tsui,Restaurants,5709
1049,15,Male,31,2017-01-22,Sushi Man YL,Sushi Man,Yuen Long,Restaurants,1548
1050,40,Female,56,2017-01-21,Chef Stage By Eddie Chu,Chef Stage,Tsim Sha Tsui,Restaurants,804
1051,5,Female,42,2016-12-02,Hiroshi TST,Hiroshi,Tsim Sha Tsui,Restaurants,782
1052,14,Female,29,2017-01-04,Flame Japanese Cuisine,Flame Group,Tsim Sha Tsui,Restaurants,1104
1053,33,Female,53,2016-12-18,Pacific Coffee WC 2,Pacific Coffee,Wan Chain,Coffee,55
1054,9,Male,44,2017-02-19,"7-Eleven, HK (1007)",7-Eleven,Wan Chai,Grocery,213
1055,24,Female,37,2016-12-16,Lei Garden Central,Lei Garden,Central,Restaurants,3033
1056,47,Female,63,2017-02-07,Bombay House,Bombay House,Prince Edward,Restaurants,742
1057,18,Female,51,2017-02-08,"7-Eleven, HK (1007)",7-Eleven,Wan Chai,Grocery,335
1058,12,Male,56,2017-02-08,McDonalds-260-Queens,McDonalds,Central,Fast Food,68
1059,32,Female,42,2016-12-23,Goobne Chicken MK,Goobne Chicken,Mong Kok,Restaurants,333
1060,18,Female,51,2017-02-01,Wellcome Sha 333,Wellcome,Sha Tin,Grocery,930
1061,42,Male,60,2016-12-27,Thai on 5 Seafood Grill and Bar,Thai on 5 Seafood Grill and Bar,Tsim Sha Tsui,Restaurants,1151
1062,29,Female,45,2017-02-24,Outback Steakhouse CWB 2,Outback Steakhouse,Causeway Bay,Restaurants,501
1063,31,Male,53,2016-12-30,Japan Noodle House,Japan Noodle House,Prince Edward,Restaurants,300
1064,42,Male,60,2017-02-16,"7-Eleven, HK (1703)",7-Eleven,Sha Tin,Grocery,121
1065,16,Female,64,2017-01-02,McDonalds TC,McDonalds,Tung Chung,Fast Food,95
1066,19,Female,37,2017-02-02,McDonalds-260-Queens,McDonalds,Central,Fast Food,32
1067,46,Female,29,2017-01-19,Lee Moon Yuen Korea Restaurant,Lee Moon Yuen Korea Restaurant,Mong Kok,Restaurants,1384
1068,34,Male,57,2016-12-04,Big Fernand Wan Chai,Big Fernand,Wan Chai,Restaurants,457
1069,10,Male,33,2016-12-23,Wellcome 81,Wellcome,Tung Chung,Grocery,769
1070,26,Male,22,2016-12-26,ICHIRAN TST 1,ICHIRAN,Tsim Sha Tsui,Restaurants,443
1071,14,Female,29,2017-01-20,Glasshouse,Glasshouse,Central,Restaurants,1051
1072,27,Female,22,2017-02-21,Jaspas PE,Jaspas,Prince Edward,Restaurants,1222
1073,35,Male,21,2016-12-13,The Grill Room,The Grill Room,Causeway Bay,Restaurants,1060
1074,33,Female,53,2016-12-31,ICHIRAN TST 1,ICHIRAN,Tsim Sha Tsui,Restaurants,450
1075,11,Female,41,2016-12-27,Sushi Man YL,Sushi Man,Yuen Long,Restaurants,3873
1076,26,Male,22,2016-12-23,Hwaduk,Hwanduk,Causeway Bay,Restaurants,449
1077,4,Male,62,2017-01-27,"7-Eleven, HK (1223)",7-Eleven,Central,Grocery,185
1078,37,Female,52,2016-12-22,Hwaduk,Hwanduk,Causeway Bay,Restaurants,294
1079,48,Male,40,2016-12-21,Wellcome 81,Wellcome,Tung Chung,Grocery,554
1080,12,Male,56,2017-02-24,Lee Moon Yuen Korea Restaurant,Lee Moon Yuen Korea Restaurant,Mong Kok,Restaurants,1373
1081,23,Female,20,2017-01-30,Ibon Rae House,Ibon Rae,Central,Restaurants,557
1082,21,Male,19,2017-01-21,Ibon Rae House,Ibon Rae,Central,Restaurants,620
1083,21,Male,19,2017-01-18,Outback Steakhouse CWB 2,Outback Steakhouse,Causeway Bay,Restaurants,574
1084,47,Female,63,2017-02-19,Chef Stage By Eddie Chu,Chef Stage,Tsim Sha Tsui,Restaurants,2514
1085,14,Female,29,2017-02-08,Spaghetti House (42),Spaghetti House,Tai Koo Shing,Restaurants,463
1086,8,Male,66,2017-01-19,Wellcome Main 24,Wellcome,Central,Grocery,454
1087,40,Female,56,2017-01-30,Park N Shop 784,Park N Shop,Tung Chung,Grocery,159
1088,41,Female,23,2016-12-03,Wellcome Main 24,Wellcome,Central,Grocery,501
1089,10,Male,33,2017-01-09,McDonalds TC,McDonalds,Tung Chung,Fast Food,137
1090,20,Male,26,2016-12-18,Pacific Coffee HK,Pacific Coffee,Tung Chung,Coffee,214
1091,37,Female,52,2017-02-25,Sushi Man YL,Sushi Man,Yuen Long,Restaurants,3283
1092,33,Female,53,2017-01-13,Wellcome Main 24,Wellcome,Central,Grocery,1088
1093,6,Female,64,2016-12-17,McDonalds WC 333,McDonalds,Wan Chai,Fast Food,140
1094,24,Female,37,2016-12-06,Park N Shop Sha Tin Central,Park N Shop,Sha Tin,Grocery,431
1095,20,Male,26,2016-12-18,Spaghetti House (42),Spaghetti House,Tai Koo Shing,Restaurants,773
1096,44,Female,28,2016-12-30,Pacific Coffee HK,Pacific Coffee,Tung Chung,Coffee,56
1097,39,Female,40,2016-12-06,Tulsi SYP,Tulsi and Wine,Sai Ying Pun,Restaurants,646
1098,22,Male,67,2016-12-22,Pacific Coffee WC 2,Pacific Coffee,Wan Chain,Coffee,78
1099,28,Male,65,2017-02-19,Calimex CWB,Calimex,Causeway Bay,Restaurants,176
1100,13,Female,27,2016-12-27,Lei Garden Central,Lei Garden,Central,Restaurants,2671
1101,22,Male,67,2017-01-08,Lee Moon Yuen Korea Restaurant,Lee Moon Yuen Korea Restaurant,Mong Kok,Restaurants,1280
1102,23,Female,20,2017-01-20,Park N Shop 784,Park N Shop,Tung Chung,Grocery,735
1103,14,Female,29,2017-01-31,Bombay House,Bombay House,Prince Edward,Restaurants,139
1104,40,Female,56,2016-12-15,ICHIRAN TST 1,ICHIRAN,Tsim Sha Tsui,Restaurants,185
1105,10,Male,33,2016-12-23,Hiroshi TST,Hiroshi,Tsim Sha Tsui,Restaurants,240
1106,41,Female,23,2017-02-07,Pacific Coffee HK,Pacific Coffee,Tung Chung,Coffee,126
1107,43,Female,51,2016-12-21,Wellcome 81,Wellcome,Tung Chung,Grocery,303
1108,42,Male,60,2016-12-20,StarBucks WC 2,StarBucks,Wan Chain,Coffee,225
1109,9,Male,44,2017-02-08,ICHIRAN TST 1,ICHIRAN,Tsim Sha Tsui,Restaurants,102
1110,14,Female,29,2017-01-06,Lee Moon Yuen Korea Restaurant,Lee Moon Yuen Korea Restaurant,Mong Kok,Restaurants,933
1111,44,Female,28,2016-12-19,Lei Garden Central,Lei Garden,Central,Restaurants,4162
1112,5,Female,42,2016-12-14,Spaghetti House (42),Spaghetti House,Tai Koo Shing,Restaurants,351
1113,22,Male,67,2016-12-12,Dominos Central,Dominos,Central,Restaurants,322
1114,34,Male,57,2017-02-07,Hwaduk,Hwanduk,Causeway Bay,Restaurants,226
1115,31,Male,53,2016-12-20,Wellcome 81,Wellcome,Tung Chung,Grocery,362
1116,22,Male,67,2016-12-20,Calimex CWB,Calimex,Causeway Bay,Restaurants,489
1117,6,Female,64,2017-01-16,Park N Shop Sha Tin Central,Park N Shop,Sha Tin,Grocery,283
1118,50,Male,24,2017-01-18,McDonalds-260-Queens,McDonalds,Central,Fast Food,76
1119,5,Female,42,2016-12-06,Outback Steakhouse CWB 2,Outback Steakhouse,Causeway Bay,Restaurants,837
1120,40,Female,56,2017-01-16,Pacific Coffee (4426),Pacific Coffee,Central,Coffee,234
1121,41,Female,23,2016-12-13,Ibon Rae House,Ibon Rae,Central,Restaurants,730
1122,9,Male,44,2017-02-20,Spaghetti House (42),Spaghetti House,Tai Koo Shing,Restaurants,488
1123,24,Female,37,2016-12-10,StarBucks (4426),StarBucks,Central,Coffee,233
1124,7,Male,48,2017-02-03,McDonalds WC 333,McDonalds,Wan Chai,Fast Food,65
1125,19,Female,37,2016-12-25,StarBucks 115-4,StarBucks,Sha Tin,Coffee,104
1126,15,Male,31,2016-12-27,Little Vegas,Little Vegas,Causeway Bay,Restaurants,220
1127,17,Female,19,2017-01-10,StarBucks HK,StarBucks,Tung Chung,Coffee,47
1128,15,Male,31,2017-02-27,Cinta-J,Cinta-J,Wan Chai,Restaurants,442
1129,48,Male,40,2016-12-26,StarBucks 115-4,StarBucks,Sha Tin,Coffee,197
1130,5,Female,42,2017-01-03,Bombay House,Bombay House,Prince Edward,Restaurants,716
1131,42,Male,60,2016-12-30,The Grill Room,The Grill Room,Causeway Bay,Restaurants,328
1132,36,Female,21,2017-02-08,Hwaduk,Hwanduk,Causeway Bay,Restaurants,413
1133,27,Female,22,2017-02-21,Sushi Man YL,Sushi Man,Yuen Long,Restaurants,875
1134,47,Female,63,2017-01-09,McDonalds TC,McDonalds,Tung Chung,Fast Food,39
1135,43,Female,51,2017-02-09,Big Fernand Wan Chai,Big Fernand,Wan Chai,Restaurants,251
1136,36,Female,21,2016-12-06,Goobne Chicken MK,Goobne Chicken,Mong Kok,Restaurants,125
1137,1,Male,52,2016-12-14,McDonalds SHA,McDonalds,Sha Tin,Fast Food,60
1138,7,Male,48,2016-12-30,ICHIRAN TST 1,ICHIRAN,Tsim Sha Tsui,Restaurants,367
1139,43,Female,51,2016-12-21,Glasshouse,Glasshouse,Central,Restaurants,1378
1140,29,Female,45,2016-12-06,Spaghetti House (42),Spaghetti House,Tai Koo Shing,Restaurants,446
1141,3,Male,40,2016-12-04,Sushi Man YL,Sushi Man,Yuen Long,Restaurants,2228
1142,44,Female,28,2017-02-18,Jaspas PE,Jaspas,Prince Edward,Restaurants,466
1143,44,Female,28,2017-02-02,Wellcome WC 1,Wellcome,Wan Chai,Grocery,725
1144,15,Male,31,2017-02-11,The Grill Room,The Grill Room,Causeway Bay,Restaurants,252
1145,24,Female,37,2016-12-26,Bombay House,Bombay House,Prince Edward,Restaurants,120
1146,11,Female,41,2017-01-19,Park N Shop 784,Park N Shop,Tung Chung,Grocery,1003
1147,28,Male,65,2017-01-05,StarBucks (4426),StarBucks,Central,Coffee,173
1148,49,Male,40,2017-02-16,Park N Shop Sha Tin Central,Park N Shop,Sha Tin,Grocery,342
1149,20,Male,26,2017-01-06,StarBucks 115-4,StarBucks,Sha Tin,Coffee,122
1150,6,Female,64,2016-12-20,McDonalds-260-Queens,McDonalds,Central,Fast Food,94
1151,4,Male,62,2017-02-26,Pacific Coffee HK,Pacific Coffee,Tung Chung,Coffee,28
1152,31,Male,53,2017-02-09,Little Vegas,Little Vegas,Causeway Bay,Restaurants,570
1153,39,Female,40,2017-02-11,McDonalds-260-Queens,McDonalds,Central,Fast Food,46
1154,36,Female,21,2017-01-27,Hwaduk,Hwanduk,Causeway Bay,Restaurants,124
1155,27,Female,22,2017-02-07,StarBucks 115-4,StarBucks,Sha Tin,Coffee,153
1156,48,Male,40,2016-12-12,"7-Eleven, HK (1703)",7-Eleven,Sha Tin,Grocery,124
1157,20,Male,26,2016-12-10,Wellcome Main 24,Wellcome,Central,Grocery,544
1158,39,Female,40,2017-02-24,McDonalds-260-Queens,McDonalds,Central,Fast Food,149
1159,30,Female,36,2017-01-07,Itunes.com/bill,Apple,Itunes.com,Electronics,651
1160,30,Female,36,2016-12-09,Sushi Man YL,Sushi Man,Yuen Long,Restaurants,2934
1161,11,Female,41,2017-01-01,Hwaduk,Hwanduk,Causeway Bay,Restaurants,271
1162,27,Female,22,2017-01-24,ICHIRAN TST 1,ICHIRAN,Tsim Sha Tsui,Restaurants,455
1163,20,Male,26,2017-01-08,Sushi Man YL,Sushi Man,Yuen Long,Restaurants,1318
1164,18,Female,51,2017-01-14,Wellcome Sha 333,Wellcome,Sha Tin,Grocery,414
1165,15,Male,31,2017-01-18,StarBucks 115-4,StarBucks,Sha Tin,Coffee,238
1166,50,Male,24,2016-12-28,"7-Eleven, HK (1703)",7-Eleven,Sha Tin,Grocery,167
1167,21,Male,19,2017-01-05,Park N Shop 154,Park N Shop,Central,Grocery,766
1168,30,Female,36,2016-12-22,ICHIRAN TST 1,ICHIRAN,Tsim Sha Tsui,Restaurants,241
1169,22,Male,67,2016-12-22,StarBucks WC 2,StarBucks,Wan Chain,Coffee,158
1170,16,Female,64,2017-02-26,Lei Garden Central,Lei Garden,Central,Restaurants,5152
1171,22,Male,67,2016-12-05,StarBucks HK,StarBucks,Tung Chung,Coffee,60
1172,39,Female,40,2016-12-03,Jaspas PE,Jaspas,Prince Edward,Restaurants,540
1173,45,Male,62,2017-01-25,"7-Eleven, HK (200)",7-Eleven,Tung Chung,Grocery,143
1174,47,Female,63,2017-02-03,Calimex CWB,Calimex,Causeway Bay,Restaurants,419
1175,17,Female,19,2016-12-12,Tulsi SYP,Tulsi and Wine,Sai Ying Pun,Restaurants,278
1176,29,Female,45,2017-02-09,Jaspas PE,Jaspas,Prince Edward,Restaurants,362
1177,49,Male,40,2017-01-26,Ibon Rae House,Ibon Rae,Central,Restaurants,459
1178,8,Male,66,2017-02-11,McDonalds-260-Queens,McDonalds,Central,Fast Food,30
1179,14,Female,29,2017-01-16,Cinta-J,Cinta-J,Wan Chai,Restaurants,1182
1180,22,Male,67,2016-12-17,Sushi Man YL,Sushi Man,Yuen Long,Restaurants,1114
1181,21,Male,19,2016-12-20,Park N Shop WC 1,Park N Shop,Wan Chai,Grocery,880
1182,49,Male,40,2016-12-24,StarBucks HK,StarBucks,Tung Chung,Coffee,162
1183,18,Female,51,2017-02-03,Goobne Chicken MK,Goobne Chicken,Mong Kok,Restaurants,287
1184,43,Female,51,2016-12-07,Ibon Rae House,Ibon Rae,Central,Restaurants,535
1185,31,Male,53,2017-02-22,ICHIRAN TST 1,ICHIRAN,Tsim Sha Tsui,Restaurants,452
1186,3,Male,40,2016-12-31,Calimex CWB,Calimex,Causeway Bay,Restaurants,59
1187,36,Female,21,2017-02-12,Chef Stage By Eddie Chu,Chef Stage,Tsim Sha Tsui,Restaurants,4850
1188,40,Female,56,2017-01-09,Flame Japanese Cuisine,Flame Group,Tsim Sha Tsui,Restaurants,208
1189,13,Female,27,2016-12-17,Goobne Chicken MK,Goobne Chicken,Mong Kok,Restaurants,301
1190,21,Male,19,2017-02-11,Japan Noodle House,Japan Noodle House,Prince Edward,Restaurants,524
1191,34,Male,57,2016-12-26,Wellcome 81,Wellcome,Tung Chung,Grocery,1062
1192,22,Male,67,2017-01-30,Park N Shop 784,Park N Shop,Tung Chung,Grocery,924
1193,23,Female,20,2017-01-30,StarBucks 115-4,StarBucks,Sha Tin,Coffee,99
1194,49,Male,40,2016-12-18,Bombay House,Bombay House,Prince Edward,Restaurants,635
1195,16,Female,64,2016-12-06,Itunes.com/bill,Apple,Itunes.com,Electronics,631
1196,32,Female,42,2017-02-20,Park N Shop Sha Tin Central,Park N Shop,Sha Tin,Grocery,796
1197,19,Female,37,2017-02-21,"7-Eleven, HK (1703)",7-Eleven,Sha Tin,Grocery,52
1198,15,Male,31,2016-12-02,Cinta-J,Cinta-J,Wan Chai,Restaurants,1328
1199,28,Male,65,2017-02-18,Deliveroo,Pure,Hong Kong,Health/Fitness,788
1200,42,Male,60,2016-12-27,Wellcome 81,Wellcome,Tung Chung,Grocery,423
1201,3,Male,40,2016-12-11,Calimex CWB,Calimex,Causeway Bay,Restaurants,405
1202,34,Male,57,2017-02-27,StarBucks WC 2,StarBucks,Wan Chain,Coffee,116
1203,50,Male,24,2017-02-28,Tulsi SYP,Tulsi and Wine,Sai Ying Pun,Restaurants,373
1204,11,Female,41,2016-12-19,Outback Steakhouse CWB 2,Outback Steakhouse,Causeway Bay,Restaurants,1454
1205,44,Female,28,2017-02-12,Pacific Coffee HK,Pacific Coffee,Tung Chung,Coffee,81
1206,31,Male,53,2016-12-07,Cinta-J,Cinta-J,Wan Chai,Restaurants,336
1207,43,Female,51,2016-12-27,Ibon Rae House,Ibon Rae,Central,Restaurants,606
1208,47,Female,63,2017-02-05,Pacific Coffee WC 2,Pacific Coffee,Wan Chain,Coffee,106
1209,38,Male,18,2017-01-16,"7-Eleven, HK (1223)",7-Eleven,Central,Grocery,89
1210,42,Male,60,2016-12-01,StarBucks (4426),StarBucks,Central,Coffee,245
1211,12,Male,56,2017-01-16,Park N Shop 784,Park N Shop,Tung Chung,Grocery,1030
1212,9,Male,44,2017-01-05,"7-Eleven, HK (1703)",7-Eleven,Sha Tin,Grocery,221
1213,48,Male,40,2017-02-15,Outback Steakhouse CWB 2,Outback Steakhouse,Causeway Bay,Restaurants,321
1214,13,Female,27,2017-01-01,McDonalds TC,McDonalds,Tung Chung,Fast Food,27
1215,8,Male,66,2017-01-27,StarBucks WC 2,StarBucks,Wan Chain,Coffee,109
1216,30,Female,36,2017-01-27,Pacific Coffee WC 2,Pacific Coffee,Wan Chain,Coffee,138
1217,50,Male,24,2016-12-31,Park N Shop 784,Park N Shop,Tung Chung,Grocery,1069
